朝阳,润泽御府,110000,5480,25000,0
朝阳,福景苑,80000,1200,2100,0
朝阳,北京书院,150000,800,1946,1
朝阳,天润福熙大道,110000,1400,5161,0
朝阳,尊悦光华,130000,2600,2680,1
朝阳,富兴首府,85000,1076,1450,1
朝阳,懋源・Z玺,86000,4400,7000,1
朝阳,中海首开拾光里,70000,850,1400,1
朝阳,华樾国际领尚,71000,740,1100,1
朝阳,傲云,100000,2500,2500,0
朝阳,傲云,100000,2700,4000,0
朝阳,朝阳一墅,65000,800,1500,1
朝阳,保利锦上,71000,800,1100,1
朝阳,龙樾合玺,88000,1100,1600,1
朝阳,青云上府,66120,875,1075,1
朝阳,和光悦府,88000,1060,1500,1
朝阳,朝阳壹号,71000,780,1240,1
朝阳,德贤御府,80000,580,1152,0
朝阳,绿城沁园,65000,500,1000,1
朝阳,建发・望京养云,70400,880,1200,1
