首开璞v公馆,106000,2200-2500,0
西山甲一号,63000,900-1200,1
燕西华府,42000,800,1
紫辰院,128000,4100,1
龙湖西宸广场,50000,500,0
融达国际,99800,0,0
燕西华府,52000,1760-5000,1
中粮天恒天悦壹号,85000,1250,0
丰台金茂广场,63000,0,0
保利庠么蠖蓟,63000,0,0
保利庠么蠖蓟,63000,0,0
泰禾金府大院,82000,1700-1800,1
珠光御景西园,39000,520-620,1
元熙华府,87000,1113-1300,1
泰禾金府大院,75000,2900-3500,1
电建地产吃迷,63000,830-1200,0
中粮天恒天悦壹号,85000,1900-2800,1
葛洲坝中国府,135000,2500-3200,1
懋源・Z岳,140000,6500-9000,1
万科庐,39000,510-620,1
万科庐,39000,830-850,1
熙悦天寰,58000,650-900,1
中建国望府,2435-3783,0,1
中海甲叁院,109000,1600-2500,1
合生・缦云,130000,2300-3200,0
懿府时光里,29700,660,0
东叁金茂府,107500,1900-2150,1
世茂北京天誉,120000,1750-2850,1
国誉万和城,82000,1100-1300,1
葛洲坝中国府,115000,2800-3450,1
首创 天阅山河,80000,950-1350,1
西甲时代中心,27000,65-130,0
熙悦晴翠,68000,374-1066,0
西山金茂府,55000,650-800,1
翡翠西湖,41230,330-375,1
翡翠西湖,37000,940-1050,1
